mnist_id,magnitude_0_lb,magnitude_0_ub,magnitude_1_lb,magnitude_1_ub,magnitude_2_lb,magnitude_2_ub,parity_0_lb,parity_0_ub,parity_1_lb,parity_1_ub,magnitude_prediction_idx,magnitude_label_idx,parity_prediction_idx,parity_label_idx,magnitude_correct,parity_correct,magnitude_safe,parity_safe,safe,epsilon
38136,2.8079395592625228e-08,2.984168847510039e-08,1.7971816664357812e-10,1.9511600257355018e-10,0.9999999699631956,0.9999999717408862,0.7416543931551516,0.7543297925761555,0.2456702074238444,0.2583456068448484,2,2,0,0,True,True,True,True,True,0.001
45132,2.9887075981417807e-24,3.24531593513928e-24,1.0,1.0,4.700602294266788e-19,5.072442687309525e-19,9.761387679133744e-19,1.0377302553919307e-18,1.0,1.0,1,1,1,1,True,True,True,True,True,0.001
33156,2.38080756735724e-12,2.5151973742321964e-12,1.5062533987003916e-07,1.6049622938682424e-07,0.9999998395012554,0.9999998493722793,1.3572500679149626e-09,1.422617062626271e-09,0.9999999985773829,0.9999999986427499,2,2,1,1,True,True,True,True,True,0.001
6631,1.1727662739547969e-18,1.2356202958865572e-18,0.999999999997506,0.9999999999976454,2.3545912807624284e-12,2.494105248396498e-12,1.0,1.0,5.357606943046416e-22,5.640492930858958e-22,1,1,0,0,True,True,True,True,True,0.001
54821,2.1446298588338103e-23,2.261125811802777e-23,4.464969640424418e-25,4.717343238041241e-25,1.0,1.0,1.0,1.0,2.8997861279527903e-19,3.0429610477634714e-19,2,2,0,0,True,True,True,True,True,0.001
49663,6.45948120843093e-15,6.784275419655516e-15,1.381692640602391e-10,1.4631542522955235e-10,0.9999999998536777,0.9999999998618243,9.579621292720703e-08,1.005404087781521e-07,0.9999998994595912,0.9999999042037871,2,2,1,1,True,True,True,True,True,0.001
25611,6.0233058042751565e-21,6.4803919704463285e-21,1.0,1.0,1.2402345236067494e-20,1.3549097572549737e-20,1.0,1.0,3.8660906888641275e-27,4.147678873311275e-27,1,1,0,0,True,True,True,True,True,0.001
27027,5.836720106802178e-09,6.257849812565878e-09,0.6852502370704203,0.6995156235067769,0.30048437053691857,0.3147497568002875,0.9999999999985505,0.999999999998634,1.3660789715050666e-12,1.4495078612621088e-12,1,2,0,0,False,True,False,True,False,0.001
3211,2.4595153448667305e-15,2.60374840202494e-15,3.585176886237612e-18,3.825872739954945e-18,0.9999999999999974,0.9999999999999976,0.9999999999999929,0.9999999999999933,6.810404519782481e-15,7.182625218104907e-15,2,2,0,0,True,True,True,True,True,0.001
56020,0.9999999999856641,0.9999999999865257,1.3466897095316704e-11,1.4328044948355031e-11,7.42722136359787e-15,7.887048253653016e-15,3.831158294660229e-11,4.092916495996978e-11,0.9999999999590709,0.9999999999616884,0,0,1,1,True,True,True,True,True,0.001
8046,1.0,1.0,2.3405634580429515e-19,2.515546092572707e-19,8.494279263148269e-18,9.137646142825492e-18,0.9999999999999998,0.9999999999999998,2.365918236860498e-16,2.5511040609124465e-16,0,0,0,0,True,True,True,True,True,0.001
42714,1.638870200231037e-35,1.7877533280445977e-35,1.0,1.0,4.99784981614851e-24,5.477660709551151e-24,1.0,1.0,1.0822020362965058e-28,1.1731357415412772e-28,1,1,0,0,True,True,True,True,True,0.001
1019,0.05175888899423381,0.05411932976145645,1.4468902238753299e-05,1.526598386677948e-05,0.9458654551953679,0.9482265943658581,0.09452625443936022,0.09826462884206295,0.9017353711579371,0.9054737455606398,2,2,1,1,True,True,True,True,True,0.001
25218,7.077294278967557e-23,7.992803147598806e-23,1.0,1.0,4.7095893246539377e-23,5.313774112973145e-23,1.0,1.0,1.652750768551454e-23,1.8187594103608557e-23,1,1,0,0,True,True,True,True,True,0.001
